,Security Id,Security Name,Group,Industry
885,KLKELEC,KLK Electrical Ltd,XT,Other Elect.Equip./ Prod.
886,PERVASIVE,Pervasive Commodities Ltd,P ,Electronic Components
887,HONAUT,HONEYWELL AUTOMATION INDIA LTD.,B ,Other Elect.Equip./ Prod.
888,SWITCHTE,SWITCHING TECHNOLOGIES GUNTHER LTD.,XT,Electronic Components
889,LUMAXIND,LUMAX INDUSTRIES LTD.,B ,Auto Parts &amp; Equipment
892,PAEL,PAE LTD.,T ,Comm.Trading  &amp; Distribution
893,CALCOM,CALCOM VISION LTD.,XT,Consumer Electronics
894,DYNAVSN,DYNAVISION LTD.,P ,Electronic Components
895,FINELINE,FINE-LINE CIRCUITS LTD.,XT,Electronic Components
896,HBLPOWER,HBL POWER SYSTEMS LTD.-$,B ,Other Elect.Equip./ Prod.
897,GUJARATPOLY,Gujarat Poly Electronics Ltd,XT,Other Elect.Equip./ Prod.
898,GIPCL,GUJARAT INDUSTRIES POWER CO.LTD.,B ,Electric Utilities
899,SAVINFOCO,SAVANT INFOCOMM LTD.,XT,Other Elect.Equip./ Prod.
900,CMI,CMI LTD.,B ,Other Elect.Equip./ Prod.
901,MOTHERSUMI,MOTHERSON SUMI SYSTEMS LTD.,A ,Auto Parts &amp; Equipment
902,MINDTECK,MINDTECK (INDIA) LTD.,B ,IT Software Products
903,HAVELLS,HAVELLS INDIA LTD.,A ,Other Elect.Equip./ Prod.
904,INCAP,INCAP LTD.,XT,Other Elect.Equip./ Prod.
905,GUJINTRX,GUJARAT INTRUX LTD.-$,XT,Other Industrial Products
906,IGARASHI,IGARASHI MOTORS INDIA LTD.,B ,Auto Parts &amp; Equipment
907,SYMPHONY,Symphony Limited,A ,Consumer Electronics
908,VINTRON,VINTRON INFORMATICS LTD.,XT,Computer Hardware
909,PANELEC,PAN ELECTRONICS INDIA LTD.,XT,Electronic Components
910,VXLINSTR,VXL INSTRUMENTS LTD.,XT,Consumer Electronics
911,SUNSOUI,SUN SOURCE (INDIA) LTD.,XT,Electric Utilities
912,SHYAMTEL,SHYAM TELECOM LTD.,T ,Telecom Equipment
913,LEENEE,LEE &amp; NEE SOFTWARES (EXPORTS) LTD.,XT,BPO/KPO
914,BUTTERFLY,Butterfly Gandhimathi Appliances Ltd,T ,Household Appliances
915,INTEGSW,INTEGRA SWITCHGEAR LTD.,P ,Other Elect.Equip./ Prod.
916,ATHENAGLO,Athena Global Technologies Ltd-$,XT,IT Software Products
917,DUTRON,DUTRON POLYMERS LTD.-$,XT,Plastic Products
918,RSSOFTWARE,R.S.SOFTWARE INDIA LTD.,B ,IT Software Products
919,LINAKS,LINAKS MICROELECTRONICS LTD.,XT,Electronic Components
921,ACCEL,ACCEL TRANSMATIC LTD.,XT,Storage Media &amp; Peripherals
922,WEBELSOLAR,WEBSOL ENERGY SYSTEM LTD.,B ,Other Elect.Equip./ Prod.
923,TTKPRESTIG,TTK PRESTIGE LTD.,A ,Houseware
926,ONWARDTEC,ONWARD TECHNOLOGIES LTD.,B ,IT Consulting &amp; Software
927,CENTUM,CENTUM ELECTRONICS LTD.,B ,Misc.Commercial Services
930,TRIGYN,TRIGYN TECHNOLOGIES LTD.,B ,IT Software Products
931,KEI,KEI INDUSTRIES LTD.,B ,Other Elect.Equip./ Prod.
932,INDLMETER,IMP POWERS LTD.,T ,Heavy Electrical Equipment
933,KEERTHI,KEERTHI INDUSTRIES LTD.,XT,Cement &amp; Cement Products
934,GSCLCEMENT,GUJARAT SIDHEE CEMENT LTD.,T ,Cement &amp; Cement Products
935,SURAJ,SURAJ PRODUCTS LTD.,XT,Iron &amp; Steel/Interm.Products
936,APCL,ANJANI PORTLAND CEMENT LTD.-$,B ,Cement &amp; Cement Products
937,PRSNTIN,PRASHANT INDIA LTD.,P ,Textiles
938,TASTYBIT,TASTY BITE EATABLES LTD.,B ,Packaged Foods
939,RITESHIN,RITESH INTERNATIONAL LTD.,XT,Commodity Chemicals
940,AVTNPL,AVT NATURAL PRODUCTS LTD.,B ,Other Agricultural Products
941,NAHARINDUS,NAHAR INDUSTRIAL ENTERPRISES LTD.-$,B ,Textiles
942,VADILENT,VADILAL ENTERPRISES LTD.,XT,Comm.Trading  &amp; Distribution
943,VADILALIND,VADILAL INDUSTRIES LTD.-$,B ,Packaged Foods
944,ASHAI,ASHIANA AGRO INDUSTRIES LTD.,XT,Edible Oils
945,ADFFOODS,ADF FOODS LTD.-$,B ,Packaged Foods
946,WILLIMFI,WILLIAMSON FINANCIAL SERVICES LTD.,XT,Finance (including NBFCs)
947,WILLAMAGOR,WILLIAMSON MAGOR &amp; COMPANY LTD.,T ,Comm.Trading  &amp; Distribution
948,RICHIRICH,Richirich Inventures Limited,XT,Comm.Trading  &amp; Distribution
949,SRDAPRT,SARDA PROTEINS LTD.,P ,Edible Oils
951,SANWARIA,Sanwaria Consumer Ltd-$,T ,Edible Oils
952,PRIMAGR,PRIMA AGRO LTD.,XT,Other Agricultural Products
953,BAMBINO,BAMBINO AGRO INDUSTRIES LTD.,XT,Packaged Foods
954,PRIMIND,PRIME INDUSTRIES LTD.,Z ,Edible Oils
957,BANSTEA,BANSISONS TEA INDUSTRIES LTD.,P ,Tea &amp; Coffee
958,TRANSFD,TRANSGLOBE FOODS LTD.,XT,Non-alcoholic Beverages
959,ANIKINDS,ANIK INDUSTRIES LTD.,B ,Other Agricultural Products
960,RUIAAQA,RUIA AQUACULTURE FARMS LTD.,P ,Comm.Trading  &amp; Distribution
961,KMGMILK,KMG MILK FOOD LTD.,P ,Packaged Foods
962,KSE,KSE LTD.-$,XT,Packaged Foods
963,NARBADA,NARBADA GEMS AND JEWELLERY LTD.,XT,Other Apparels &amp; Accessories
964,VIRATCRA,VIRAT CRANE INDUSTRIES LTD.,XT,Packaged Foods
965,IBINFO,IB INFOTECH ENTERPRISES LTD.,XT,Other Agricultural Products
966,AMBARPIL,Ambar Protein Industries Ltd,P ,Edible Oils
967,CIANAGRO,CIAN Agro Industries &amp; Infrastructure Ltd,P ,Edible Oils
969,NKIND,N.K.INDUSTRIES LTD.,T ,Edible Oils
970,BKV,BKV INDUSTRIES LTD.,XT,Packaged Foods
971,HERITGFOOD,Heritage Foods Limited,B ,Packaged Foods
972,SIMRAN,SIMRAN FARMS LTD.,XT,Packaged Foods
974,DFM,DFM FOODS LTD.,B ,Packaged Foods
975,CCL,CCL PRODUCTS (INDIA) LTD.,B ,Tea &amp; Coffee
976,KELLTONTEC,Kellton Tech Solutions Ltd.,T ,IT Software Products
977,SURFI,SURYO FOODS &amp; INDUSTRIES LTD.,XT,Packaged Foods
978,INTEGFD,INTEGRATED PROTEINS LTD.,XT,Edible Oils
979,RICOAUTO,RICO AUTO INDUSTRIES LTD.,B ,Auto Parts &amp; Equipment
980,OMAXAUTO,OMAX AUTOS LTD.,B ,Auto Parts &amp; Equipment
981,MUNJALSHOW,MUNJAL SHOWA LTD.,B ,Auto Parts &amp; Equipment
982,JAMNAAUTO,JAMNA AUTO INDUSTRIES LTD.,B ,Auto Parts &amp; Equipment
983,SUNCLAYLTD,SUNDARAM-CLAYTON LTD.,B ,Auto Parts &amp; Equipment
985,MUNJALAU,MUNJAL AUTO INDUSTRIES LTD.,B ,Auto Parts &amp; Equipment
986,JAYBARMARU,JAY BHARAT MARUTI LTD.,B ,Auto Parts &amp; Equipment
988,ECSTSTL,EAST COAST STEEL LTD.,P ,Iron &amp; Steel/Interm.Products
989,SICAL,SICAL LOGISTICS LTD.,B ,Transportation - Logistics
990,RATNAMANI,RATNAMANI METALS &amp; TUBES LTD.-$,B ,Construction &amp; Engineering
991,VESUVIUS,VESUVIUS INDIA LTD.,B ,Other Industrial Goods
992,ASAL,AUTOMOTIVE STAMPINGS &amp; ASSEMBLIES LTD.,B ,Auto Parts &amp; Equipment
993,ARCEEIN,ARCEE INDUSTRIES LTD.,XT,Plastic Products
994,BALTE,BALURGHAT TECHNOLOGIES LTD.,XT,Surface Transportation
995,COARO,COASTAL ROADWAYS LTD.,P ,Surface Transportation
997,SHREYAS,SHREYAS SHIPPING &amp; LOGISTICS LTD.,B ,Shipping
998,SHVSUIT,SHIVA SUITINGS LTD.,P ,Comm.Trading  &amp; Distribution
999,INDOVATION,INDOVATION TECHNOLOGIES LTD.,XT,Textiles
1000,EUROTEXIND,EUROTEX INDUSTRIES &amp; EXPORTS LTD.,B ,Textiles
1001,ICIL,INDO COUNT INDUSTRIES LTD.,A ,Textiles
1002,MARALOVER,MARAL OVERSEAS LTD.,B ,Textiles
1004,SOMATEX,SOMA TEXTILES &amp; INDUSTRIES LTD.,T ,Textiles
1005,SOURCEIND,SOURCE INDUSTRIES (INDIA) LTD.,XT,Textiles
1008,KAKTEX,KAKATIYA TEXTILES LTD.,XT,Textiles
1009,TRIDENT,TRIDENT LTD.,B ,Textiles
1010,HISARSP,HISAR SPINNING MILLS LTD.,P ,Textiles
1011,ALOKTEXT,ALOK INDUSTRIES LTD.,T ,Textiles
1012,PASARI,PASARI SPINNING MILLS LTD.,XT,Textiles
1013,SPENTEX,SPENTEX INDUSTRIES LTD.,T ,Textiles
1014,OLYMPTX,OLYMPIA INDUSTRIES LTD.,XT,Internet &amp; Catalogue Retail
1015,NAGREEKEXP,NAGREEKA EXPORTS LTD.-$,T ,Textiles
1019,ADITYASP,ADITYA SPINNERS LTD.,XT,Textiles
1020,ZODIACLOTH,ZODIAC CLOTHING CO.LTD.,B ,Other Apparels &amp; Accessories
1021,SUPERSPIN,SUPER SPINNING MILLS LTD.,T ,Textiles
1022,SILINV,SIL INVESTMENTS LTD.,T ,Other Financial Services
1023,SURYALAXMI,SURYALAKSHMI COTTON MILLS LTD.,B ,Textiles
1024,CITYMAN,CITYMAN LTD.,XT,Other Apparels &amp; Accessories
1025,DHANROTO,DHANALAXMI ROTO SPINNERS LTD.,XT,Textiles
1026,DAMOINDUS,DAMODAR INDUSTRIES LTD.-$,B ,Textiles
1027,SUNILTX,SUNIL INDUSTRIES LTD.,P ,Comm.Trading  &amp; Distribution
1028,KDL,KKRRAFTON Developers Ltd,XT,Computer Hardware
1029,CHITRTX,CHITRADURGA SPINTEX LTD.,XT,Textiles
1030,KITEX,KITEX GARMENTS LTD.,B ,Other Apparels &amp; Accessories
1031,UNIDT,UNITED DRILLING TOOLS LTD.,Z ,Other Industrial Goods
1032,VCCLLTD,VCCL LTD.,P ,2/3 Wheelers
1033,WINDMACHIN,WINDSOR MACHINES LTD.,B ,Industrial Machinery
1034,SHANTIGEAR,SHANTHI GEARS LTD.,B ,Auto Parts &amp; Equipment
1035,MIVENMACH,MIVEN MACHINE TOOLS LTD.,P ,Other Industrial Goods
1036,SMENER,S.M.ENERGY TEKNIK &amp; ELECTRONICS LTD.,XT,Industrial Machinery
1037,HONDAPOWER,HONDA SIEL POWER PRODUCTS LTD.,B ,Industrial Machinery
1038,HITECHGEAR,The Hi-Tech Gears Ltd,B ,Auto Parts &amp; Equipment
1039,ELGIEQUIP,ELGI EQUIPMENTS LTD.,B ,Industrial Machinery
1041,BIRLAPREC,BIRLA PRECISION TECHNOLOGIES LTD.,XT,Industrial Machinery
1042,TIMKEN,TIMKEN INDIA LTD.,B ,Industrial Machinery
1043,VOITHPAPR,VOITH PAPER FABRICS INDIA LTD.-$,XT,Textiles
1044,DIAPOWER,Diamond Power Infrastructure Limited-$,B ,Other Elect.Equip./ Prod.
1045,PRAJIND,PRAJ INDUSTRIES LTD.,B ,Construction &amp; Engineering
1046,YOGISUNG,YOGI SUNG-WON (INDIA) LTD.,XT,Other Financial Services
1047,GUJAPOLLO,GUJARAT APOLLO INDUSTRIES LTD.,B ,Commercial Vehicles
1048,SHIVAGR,SHIVAGRICO IMPLEMENTS LTD.,XT,Industrial Machinery
1049,MMFL,M.M.FORGINGS LTD.-$,B ,Other Industrial Products
1050,IYKOTHITE,IYKOT HITECH TOOLROOM LTD.,Z ,Other Industrial Goods
1051,MAYURUNIQ,MAYUR UNIQUOTERS LTD.-$,B ,Textiles
1053,JMCPROJECT,JMC PROJECTS (INDIA) LTD.-$,B ,Construction &amp; Engineering
1054,AHMDSTE,AHMEDABAD STEELCRAFT LTD.,XT,Iron &amp; Steel/Interm.Products
1056,JAYNECOIND,JAYASWAL NECO INDUSTRIES LTD.,T ,Iron &amp; Steel/Interm.Products
1057,KALPATPOWR,KALPATARU POWER TRANSMISSION LTD.,B ,Heavy Electrical Equipment
1059,CHANDNI,Chandni Textiles Engineering Ind. Ltd,XT,Textiles
1060,CONTROLPR,CONTROL PRINT LTD.-$,B ,Containers &amp; Packaging
1061,PROFDIA,PROFESSIONAL DIAMONDS LTD.,P ,Other Apparels &amp; Accessories
1062,WEIZMANIND,WEIZMANN LTD.,B ,Comm.Trading  &amp; Distribution
1063,ZBINTXPP,BINAYAK TEX PROCESSORS LTD.,XT,Textiles
1064,JJFINCOR,J.J.FINANCE CORPORATION LTD.,XT,Finance (including NBFCs)
1065,COSMOFE,COSMO FERRITES LTD.-$,XT,Iron &amp; Steel/Interm.Products
1066,ZPPOLYSA,PLANTER POLYSACKS LTD.,XT,Containers &amp; Packaging
1067,FUTURSEC,FUTURISTIC SECURITIES LTD.,XT,Finance (including NBFCs)
1068,EIHAHOTELS,EIH ASSOCIATED HOTELS LTD.-$,B ,Hotels
1070,OTCO,OTCO INTERNATIONAL LTD.,XT,Consulting Services
1071,MORGANITE,MORGANITE CRUCIBLE (INDIA) LTD.,XT,Other Industrial Goods
1073,BAPACK,B&amp;A Packaging India Limited,P ,Paper &amp; Paper Products
1074,ABAN,ABAN OFFSHORE LTD.,A ,Exploration &amp; Production
1075,KOKUYOCMLN,KOKUYO CAMLIN LTD.-$,B ,Non-Durable Household Prod.
1076,CONTPTR,CONTINENTAL PETROLEUMS LTD.,XT,Oil Marketing &amp; Distribution
1077,NBFOOT,NB FOOTWEAR LTD.,P ,Footwear
1078,PEARLPOLY,PEARL POLYMERS LTD.,B ,Containers &amp; Packaging
1079,VENKYS,VENKY'S (INDIA) LTD.,B ,Packaged Foods
1080,ADVANIHOTR,ADVANI HOTELS &amp; RESORTS (INDIA) LTD.,B ,Hotels
1081,SUPERHOUSE,SUPERHOUSE LTD.,B ,Footwear
1082,TCPLPACK,TCPL PACKAGING LTD.-$,B ,Paper &amp; Paper Products
1084,BALMLAWRIE,BALMER LAWRIE &amp; CO.LTD.,B ,Diversified
1085,KOVAI,KOVAI MEDICAL CENTER &amp; HOSPITAL LTD.,XT,Healthcare Services
1086,ELDEHSG,ELDECO HOUSING &amp; INDUSTRIES LTD.,XT,Realty
1089,DCMSHRIRAM,DCM Shriram Limited,B ,Diversified
1090,MAWANASUG,MAWANA SUGARS LTD.,B ,Sugar
1091,NILKAMAL,NILKAMAL LTD.,A ,Plastic Products
1092,NAHARPOLY,NAHAR POLYFILMS LTD.,B ,Textiles
1093,3MINDIA,3M INDIA LTD.,B ,Diversified
1094,JCHAC,Johnson Controls-Hitachi Air Conditioning India Ltd,B ,Consumer Electronics
1095,JMFINANCIL,JM FINANCIAL LTD.-$,A ,Holding Companies
1096,COVENTRY,COVENTRY COIL-O-MATIC (HARYANA) LTD.,XT,Iron &amp; Steel/Interm.Products
1097,TNTELE,TAMILNADU TELECOMMUNICATIONS LTD.,T ,Telecom Cables
1098,RIIL,RELIANCE INDUSTRIAL INFRASTRUCTURE LTD.,B ,Construction &amp; Engineering
1099,LINDEINDIA,Linde India Limited,B ,Industrial Gases
1101,UNIOFFICE,UNIVERSAL OFFICE AUTOMATION LTD.,XT,Comm.Trading  &amp; Distribution
1103,PRECWIRE,PRECISION WIRES INDIA LTD.,B ,Other Industrial Products
1104,KRYPTONQ,KRYPTON INDUSTRIES LTD.,XT,Diversified
1106,FEL,Future Enterprises Ltd,B ,Department Stores
1108,SCI,SHIPPING CORPORATION OF INDIA LTD.,A ,Shipping
1109,ITI,ITI LTD.,B ,Telecom Equipment
1110,DREDGECORP,DREDGING CORPORATION OF INDIA LTD.,B ,Shipping
1111,PHRMASI,PHAARMASIA LTD.,XT,Pharmaceuticals
1112,PODDAR,Poddar Housing and Development Ltd,B ,Realty
1113,NFL,NATIONAL FERTILIZERS LTD.,B ,Fertilizers
1114,PIIND,PI Industries Ltd,A ,Agrochemicals
1115,PLASTIBLEN,PLASTIBLENDS INDIA LTD.-$,B ,Specialty Chemicals
1116,REDEXPR,REDEX PROTECH LTD.,XT,Industrial Machinery
1117,KKPLASTICK,Kkalpana Plastick Limited,XT,Plastic Products
1118,GOLKUNDIA,GOLKUNDA DIAMONDS &amp; JEWELLERY LTD.,XT,Other Apparels &amp; Accessories
1119,APCOTEXIND,APCOTEX INDUSTRIES LTD.,B ,Other Industrial Goods
1120,MASTEK,MASTEK LTD.,B ,IT Software Products
1121,EIMCOELECO,EIMCO ELECON (INDIA) LTD.,B ,Industrial Machinery
1122,SAYAJIHOTL,SAYAJI HOTELS LTD.,XT,Hotels
1123,JMGCORP,JMG CORPORATION LTD.,P ,Plastic Products
1124,ASHIANA,ASHIANA HOUSING LTD.-$,B ,Realty
1126,ECOBOAR,ECOBOARD INDUSTRIES LTD.,XT,Forest Products
1127,DPL,Dhunseri Petrochem Limited-$,B ,Fibres &amp; Plastics
1128,SREINFRA,SREI INFRASTRUCTURE FINANCE LTD.,A ,Finance (including NBFCs)
1130,MITSHI,Mitshi India Ltd,XT,Comm.Trading  &amp; Distribution
1131,SHUKJEW,SHUKRA JEWELLERS LTD.,P ,Other Apparels &amp; Accessories
1132,MAZDALTD,MAZDA LTD.-$,B ,Industrial Machinery
1133,VICEROY,VICEROY HOTELS LTD.,B ,Hotels
1134,NEOCORP,NEO CORP INTERNATIONAL LTD.,Z ,Containers &amp; Packaging
1135,MENONBE,MENON BEARINGS LTD.-$,B ,Auto Parts &amp; Equipment
1136,GUJRAFIA,GUJARAT RAFFIA INDUSTRIES LTD.,T ,Containers &amp; Packaging
1137,SIMPLEXINF,SIMPLEX INFRASTRUCTURES LTD.,B ,Construction &amp; Engineering
1139,SKYSS,SKYPAK SERVICE SPECIALIST LTD.,XT,Transportation - Logistics
1140,PIFL,Pacheli Industrial Finance Ltd,XT,Finance (including NBFCs)
1144,MAGMA,MAGMA FINCORP LTD.,B ,Finance (including NBFCs)
1145,HINFLUR,HINDUSTAN FLUOROCARBONS LTD.,XT,Fibres &amp; Plastics
1146,KINGFA,Kingfa Science &amp; Technology (India) Ltd-$,B ,Plastic Products
1147,PETPLST,PET PLASTICS LTD.,XT,Plastic Products
1148,POLYPLEX,POLYPLEX CORPORATION LTD.,B ,Commodity Chemicals
1149,ALBERTDA,ALBERT DAVID LTD.-$,B ,Pharmaceuticals
1150,HARLETH,HARYANA LEATHER CHEMICALS LTD.,XT,Commodity Chemicals
1152,KABRAEXTRU,KABRA EXTRUSIONTECHNIK LTD.,B ,Industrial Machinery
1153,VINYLINDIA,VINYL CHEMICALS (INDIA) LTD.,B ,Fibres &amp; Plastics
1154,PCCOSMA,PEE CEE COSMA SOPE LTD.,XT,Household Products
1155,TCMLMTD,TCM LTD.,XT,Commodity Chemicals
1156,IOLCP,IOL CHEMICALS &amp; PHARMACEUTICALS LTD.,T ,Pharmaceuticals
1157,VINATIORGA,VINATI ORGANICS LTD.-$,B ,Specialty Chemicals
1158,LACTOSE,LACTOSE (INDIA) LTD.,XT,Other Food Products
1160,AARTIIND,AARTI INDUSTRIES LTD.,B ,Commodity Chemicals
1161,PNTKYOR,PENTOKEY ORGANY (INDIA) LTD.,XT,Commodity Chemicals
1162,WANBURY,WANBURY LTD.,T ,Pharmaceuticals
1163,GAEL,GUJARAT AMBUJA EXPORTS LTD.,B ,Other Agricultural Products
1164,RCF,RASHTRIYA CHEMICALS &amp; FERTILIZERS LTD.,B ,Fertilizers
1165,KOPRAN,KOPRAN LTD.,B ,Pharmaceuticals
1166,GUJTERC,GUJARAT TERCE LABORATORIES LTD.,XT,Pharmaceuticals
1167,KABRADG,KABRA DRUGS LTD.,XT,Pharmaceuticals
1168,JAYAGROGN,JAYANT AGRO-ORGANICS LTD.,B ,Specialty Chemicals
1169,AARTIDRUGS,AARTI DRUGS LTD.,B ,Pharmaceuticals
1170,BODALCHEM,BODAL CHEMICALS LTD.,B ,Specialty Chemicals
1171,ORCHIDPHAR,Orchid Pharma Ltd,T ,Pharmaceuticals
1172,VIMTALABS,VIMTA LABS LTD.-$,B ,Healthcare Services
1173,BIOFILCHEM,BIOFIL CHEMICALS &amp; PHARMACEUTICALS LTD.,T ,Pharmaceuticals
1174,ISHITADR,ISHITA DRUGS &amp; INDUSTRIES LTD.,XT,Pharmaceuticals
1175,MARKSANS,MARKSANS PHARMA LTD.,A ,Pharmaceuticals
1176,UNIVSTAR,UNIVERSAL STARCH-CHEM ALLIED LTD.,XT,Commodity Chemicals
1177,ASINPET,ASIAN PETROPRODUCTS &amp; EXPORTS LTD.,P ,Commodity Chemicals
1179,INDOEURO,INDO EURO INDCHEM LTD.,XT,Specialty Chemicals
1180,IPCALAB,IPCA LABORATORIES LTD.,A ,Pharmaceuticals
1181,KILITCH,KILITCH DRUGS (INDIA) LTD.,B ,Pharmaceuticals
1182,RAAJMEDI,RAAJ MEDISAFE INDIA LTD.,P ,Medical Equipment
1183,TULASEEBIOE,TULASEE BIO-ETHANOL LTD.,P ,Commodity Chemicals
1184,BACPHAR,BACIL PHARMA LTD.,XT,Pharmaceuticals
1185,KREBSBIO,KREBS BIOCHEMICALS &amp; INDUSTRIES LTD.-$,T ,Pharmaceuticals
1186,KMCSHIL,KMC SPECIALITY HOSPITALS (INDIA) LTD.,XT,Healthcare Services
1187,SHABCHM,SHABA CHEMICALS LTD.,P ,Pharmaceuticals
1188,NEULANDLAB,NEULAND LABORATORIES LTD.,B ,Pharmaceuticals
1189,PODARPIGQ,PODDAR PIGMENTS LTD.-$,B ,Specialty Chemicals
1190,PHARMAID,PHARMAIDS PHARMACEUTICALS LTD.,XT,Pharmaceuticals
1191,PRIYALT,PRIYA LTD.-$,XT,Comm.Trading  &amp; Distribution
1192,TIRUSTA,TIRUPATI STARCH &amp; CHEMICALS LTD.,XT,Other Food Products
1193,EMEDTECH,Emed.com Technologies Ltd,XT,Comm.Trading  &amp; Distribution
1194,HEMORGANIC,Hemo Organic Limited,XT,Comm.Trading  &amp; Distribution
1195,AKSCHEM,AKSHARCHEM (INDIA) LTD.-$,B ,Specialty Chemicals
1198,INDXTRA,INDIAN EXTRACTIONS LTD.,XT,Other Food Products
1199,ISTRNETWK,iStreet Network Limited,XT,Internet &amp; Catalogue Retail
1200,GAGAN,GAGAN GASES LTD.,XT,Integrated Oil &amp; Gas
1201,ALUFLUOR,ALUFLUORIDE LTD.,XT,Commodity Chemicals
1203,INDSWFTLTD,IND-SWIFT LTD.,T ,Pharmaceuticals
1204,NATCAPSUQ,NATURAL CAPSULES LTD.,XT,Pharmaceuticals
1205,WELCURE,WELCURE DRUGS &amp; PHARMACEUTICALS LTD.,XT,Pharmaceuticals
1206,SOTL,SAVITA OIL TECHNOLOGIES LTD.,B ,Refineries/ Petro-Products
1207,HESTERBIO,HESTER BIOSCIENCES LTD.,B ,Pharmaceuticals
1208,KABSON,KABSONS INDUSTRIES LTD.,XT,Comm.Trading  &amp; Distribution
1209,BASANTGL,BASANT AGRO TECH (INDIA) LTD.-$,XT,Fertilizers
1210,PARENTLD,PARENTERAL DRUGS (INDIA) LTD.-$,B ,Pharmaceuticals
1211,NACLIND,NACL Industries Ltd,B ,Agrochemicals
1212,SUNPHARMA,SUN PHARMACEUTICAL INDUSTRIES LTD.,A ,Pharmaceuticals
1213,TITANBIO,TITAN BIOTECH LTD.,XT,Specialty Chemicals
1215,HIKAL,HIKAL LTD.,B ,Pharmaceuticals
1216,CAPPL,CAPLIN POINT LABORATORIES LTD.,B ,Pharmaceuticals
1218,EMMESSA,EMMESSAR BIOTECH &amp; NUTRITION LTD.,XT,Commodity Chemicals
1220,AUROPHARMA,AUROBINDO PHARMA LTD.,A ,Pharmaceuticals
1221,NATCOPHARM,NATCO PHARMA LTD.,A ,Pharmaceuticals
1222,PANAMAPET,PANAMA PETROCHEM LTD.,B ,Oil Marketing &amp; Distribution
1223,BALPHARMA,BAL PHARMA LTD.,B ,Pharmaceuticals
1224,BDH,BDH INDUSTRIES LTD.,XT,Pharmaceuticals
1225,JAUSPOL,JAUSS POLYMERS LTD.,XT,Containers &amp; Packaging
1226,CUBEXTUB,CUBEX TUBINGS LTD.,T ,Copper
1227,POLYCHMP,POLYMECHPLAST MACHINES LTD.,XT,Industrial Machinery
1229,STELLANT,STELLANT SECURITIES (INDIA) LTD.,XT,Other Financial Services
1230,GALXBRG,GALAXY BEARINGS LTD.,P ,Other Industrial Goods
1231,VINRKLB,REKVINA LABORATORIES LTD.,XT,Pharmaceuticals
1232,SCAGRO,SC Agrotech Ltd,XT,Packaged Foods
1233,SGARRES,SAGAR TOURIST RESORTS LTD.,ZP,Hotels
1234,SATHAISPAT,SATHAVAHANA ISPAT LTD.,B ,Iron &amp; Steel/Interm.Products
1235,RALEGRA,RAVILEELA GRANITES LTD.,P ,Construction Materials
1236,UNRYLMA,UNIROYAL MARINE EXPORTS LTD.,XT,Packaged Foods
1237,KARANWO,KARAN WOO-SIN LTD.,XT,Other Apparels &amp; Accessories
1238,ARHNTTO,ARIHANT TOURNESOL LTD.,P ,Comm.Trading  &amp; Distribution
1239,TRABI,TRANSGENE BIOTEK LTD.,XT,Healthcare Services
1240,MPL,MPL Plastics Limited,XT,Containers &amp; Packaging
1241,ANDREWYU,ANDREW YULE &amp; COMPANY LTD.,B ,Tea &amp; Coffee
1242,ASHRAM,ASHRAM ONLINE.COM LTD.,XT,Healthcare Services
1243,ROYALCU,ROYAL CUSHION VINYL PRODUCTS LTD.-$,XT,Furniture-Furnishing-Paints
1244,NOGMIND,NEOGEM INDIA LTD.,XT,Other Apparels &amp; Accessories
1245,HITECHCORP,Hitech Corporation Ltd-$,B ,Containers &amp; Packaging
1246,FILATEX,FILATEX INDIA LTD.-$,B ,Textiles
1247,MERCATOR,MERCATOR LTD.-$,B ,Diversified
1248,MORGAN,MORGAN VENTURES LTD.,XT,Finance (including NBFCs)
1249,AMRAPLIN,AMRAPALI INDUSTRIES LTD.,XT,Comm.Trading  &amp; Distribution
1250,PREMEXPLQ,PREMIER EXPLOSIVES LTD.,B ,Specialty Chemicals
1251,MOLDTEK,MOLD-TEK TECHNOLOGIES LTD.,T ,BPO/KPO
1252,CRSTCHM,CRESTCHEM LTD.,XT,Specialty Chemicals
1253,MPHASIS,MPHASIS LTD.,A ,IT Consulting &amp; Software
1254,DIVSHKT,DIVYASHAKTI GRANITES LTD.,XT,Construction Materials
1255,ORIENTLTD,ORIENT PRESS LTD.,B ,Containers &amp; Packaging
1256,SHREYASI,SHREYAS INTERMEDIATES LTD.,XT,Commodity Chemicals
1257,PARTIND,Parth Industries Limited,P ,Auto Parts &amp; Equipment
1258,DUROPACK,DUROPACK LTD.,XT,Plastic Products
1259,GANESHHOUC,GANESH HOUSING CORPORATION LTD.-$,B ,Realty
1260,NMDC,NMDC LTD.,A ,Mining
1261,PATINTLOG,PATEL INTEGRATED LOGISTICS LTD.-$,B ,Surface Transportation
1262,ALPHAGEO,ALPHAGEO (INDIA) LTD.-$,B ,Oil Equipment &amp; Services
1263,WELTI,WELTERMAN INTERNATIONAL LTD.,P ,Footwear
1264,PERFEPA,PERFECTPAC LTD.,XT,Paper &amp; Paper Products
1265,VISIONCINE,VISION CINEMAS LTD.,XT,Advertising &amp; Media
1266,INDRANIB,INDRAYANI BIOTECH LTD.,XT,Other Agricultural Products
1267,EUROLED,EURO LEDER FASHION LTD.,XT,Other Apparels &amp; Accessories
1268,WINSOMBR,WINSOME BREWERIES LTD.,XT,Breweries &amp; Distilleries
